Store,City,State,Zip,Type,Sum_Dry_Grocery,Sum_Dairy,Sum_Frozen_Food,Sum_Meat,Sum_Produce,Sum_Floral,Sum_Deli,Sum_Bakery,Sum_General_Merchandise,total_sales,per_grocery,per_dairy,per_frozen,per_meat,per_produce,per_floral,per_deli,per_bakery,per_merchandise,Cluster
S0018,Downey,CA,90240,Existing,10994579.22,2399399.79,1918423.17,2575042.16,2646907.99,226217.15,1044561.79,848925.03,1624673.09,24278729,0.452848220349591,9.88272405034053e-02,7.90166227400124e-02,0.106061654215919,0.109021686843656,9.31750381166987e-03,4.30237427173391e-02,3.49657937200914e-02,6.69175511617597e-02,3
S0019,Hesperia,CA,92345,Existing,9500819.34,1918345.51,1532868.24,2197008.49,1865858.21,113276.66,638836.560000001,385628.7,1529502.66,19682144,0.482712622161488,9.74662877174357e-02,7.78811617270964e-02,0.111624449551837,9.47995406394751e-02,5.75530084527376e-03,3.24576712780884e-02,1.95928197659767e-02,7.77101651120934e-02,1
S0020,Carpinteria,CA,93013,Existing,10997288.18,2568277.53,1866647.95,2600090.68,2615310,201233.89,914548.27,705612.78,1501802.12,23970811,0.458778310838127,0.107141870585855,7.78717061345984e-02,0.108469032608033,0.109103943124828,8.39495543142032e-03,3.81525794016731e-02,2.94363332137573e-02,6.26512853486684e-02,3
S0021,Santa Monica,CA,90403,Existing,9410854.64999999,2656706.22,1879698.39,1874153.33,3217947.64,194611.01,795313.459999999,612390.49,1100774.09,21742449,0.432833240174554,0.122189833353179,8.64529285546444e-02,8.61978947265784e-02,0.148002998190314,8.95074009372174e-03,3.6578835254483e-02,2.81656629388897e-02,5.06278795916688e-02,2
S0022,Poway,CA,92064,Existing,13404375.38,2752887.18,2163727.82,3022688.81,2625382.14,246755.04,1229095.06,970143.130000001,2074377.15,28489432,0.470503426674144,9.66283631067126e-02,7.59484365992274e-02,0.106098598596139,9.21528424996329e-02,8.66128324355502e-03,4.31421398643539e-02,3.40527368183402e-02,7.28121624186821e-02,3
S0023,Huntington Beach,CA,92649,Existing,7723456.22999999,1921840.1,1491504.46,1938579.85,1893525.06,167752.48,678086.29,640114.98,1233253.09,17688113,0.436646703353828,0.108651505109674,8.4322418112096e-02,0.109597889271739,0.10705071027079,9.48391046574612e-03,3.83357054537135e-02,3.61889920083618e-02,6.97221399478848e-02,2
S0024,Whittier,CA,90603,Existing,11160900.76,2550573.86,2014391.25,2570942.73,2709800.59,132218.66,1008674.17,562929.26,1813070.15,24523501,0.455110416738621,0.104005291087924,8.21412591130442e-02,0.10483587681873,0.110498113218011,5.39150833316988e-03,4.11309204994833e-02,2.29546857930277e-02,7.39319459321897e-02,3
S0025,Orange,CA,92865,Existing,14470649.14,3278235.63,2493889.08,3286736.53,3498500.3,166116.52,1324244.75,961693.58,1838856.38,31318922,0.462041737579601,0.104672684136446,7.96288288594352e-02,0.104944114296143,0.111705642358955,5.30403057934114e-03,4.22825776059597e-02,3.07064713146896e-02,5.87139103957665e-02,3
S0026,Montrose,CA,91020,Existing,9711806.15,2236359.26,1664161.72,2119542.42,2411984.05,176843.89,799105.96,648571.84,1451771.86,21220147,0.457669126891534,0.105388490475584,7.84236659623518e-02,9.98834937382856e-02,0.113664813443564,8.33377308837683e-03,3.76578899288492e-02,3.05639654616907e-02,6.8414788078518e-02,2
S0027,Malibu,CA,90265,Existing,11859562.08,2762018.81,2061424.43,2638827.83,3511115.94,431558.24,789146.71,620490.05,1876040.56,26550185,0.446684724795703,0.104030115421041,7.76425636958839e-02,9.93901861700774e-02,0.132244499991243,1.62544343852971e-02,2.97228328164192e-02,2.3370460507149e-02,7.06601690346037e-02,2
S0028,Newhall,CA,91321,Existing,7841593.17,1787154.37,1366909.87,2062508.92,2017244.48,61139.8299999999,645670.38,521856.64,1007023.92,17311102,0.452980588410836,0.10323746980406,7.89614589527577e-02,0.119143710204007,0.116528946568508,3.5318277253522e-03,3.72980518513495e-02,3.01457781255058e-02,5.8172144095737e-02,3
S0029,Lancaster,CA,93534,Existing,14829406.83,3341340.32,2451973.11,4420784.46,3333528.94,209019.35,1440562.53,598927.39,2981115.45,33606658,0.441263955196021,9.94249508534887e-02,7.29609326223393e-02,0.131544899823124,9.91925153640686e-02,6.21958154839437e-03,4.28653908401127e-02,1.78216884880371e-02,8.87060965716971e-02,1
S0030,Hemet,CA,92545,Existing,11232100.21,2789061.75,1805115.79,2839990.86,2965450.25,211755.18,1225710.44,779454.599999999,1648698.92,25497338,0.440520504924867,0.109386389669384,7.07962450825259e-02,0.111383818185255,0.116304307924223,8.30499168187675e-03,4.80720944280537e-02,3.05700383310603e-02,6.46616097727536e-02,3
S0031,Lake Elsinore,CA,92532,Existing,13344842.36,3014887.33,2274456.12,3304425.47,2575738.86,184062.48,1133312.67,595091.290000001,2842620.56,29269437,0.455930954872826,0.10300462321841,7.7707545929223e-02,0.112896789576103,8.80009704320585e-02,6.28855553320005e-03,3.87200023697074e-02,2.03314908312039e-02,9.7119072020415e-02,1
S0032,Santa Clarita,CA,91351,Existing,10839766.57,2277093.41,1769568.5,2797084.07,2331785.09,157300.51,966854.670000001,567271.16,2458833.29,24165557,0.44856266172553,9.42288816268543e-02,7.32268865145547e-02,0.115746724563394,9.64920895471186e-02,6.50928550912358e-03,4.00096165794979e-02,2.34743672574979e-02,0.101749497849356,1
S0033,Los Alamitos,CA,90720,Existing,14465006.19,3356605.45,2631936.7,3916347.08,3730920.43,296740.91,1345068.95,923256.25,2294605.79,32960488,0.43885898139615,0.101837249800428,7.9851266158438e-02,0.118819450731433,0.113193725469113,9.00292829402283e-03,4.08085265606505e-02,2.80110006259616e-02,6.96168633789645e-02,3
S0034,Ojai,CA,93023,Existing,13566943.93,3218941.92,2562510.4,3402503.03,3561114.71,362451.26,1372806.13,902119.1,2100665.64,31050056,0.436937824846435,0.103669440080881,8.2528366454476e-02,0.10958122040102,0.114689477854726,1.16731274172259e-02,4.42126780705323e-02,2.90537028339015e-02,6.76541659055302e-02,2
S0035,Upland,CA,91786,Existing,8525732.59,1856416.79,1448285.37,2243507.61,1615522.5,132984.09,742343.57,537480.27,1262948.38,18365221,0.464232507193896,0.101083280729374,7.88602200866518e-02,0.122160664987369,8.79664067206162e-02,7.24108302317733e-03,4.04211618253872e-02,2.92662021328249e-02,6.87684825573295e-02,3
S0036,Yucaipa,CA,92399,Existing,8814761.2,1687871.64,1432261.65,1795257.75,1748605.79,103705.82,545124.18,283134.94,1416381.48,17827104,0.49445839324211,9.46800803989251e-02,8.03418014501964e-02,0.100703835575313,9.80869237089771e-02,5.81731166206244e-03,3.05783923176754e-02,1.58822734191712e-02,7.94510134680316e-02,1
S0037,San Diego,CA,92130,Existing,13507345.36,3060559.9,2410415.17,3383050.92,3562066.35,256331.63,1246123.74,635399.37,3225658.13,31286951,0.431724566577293,9.78222486428926e-02,7.70421882912145e-02,0.108129773335855,0.11385150154133,8.19292458379853e-03,3.98288647557891e-02,2.03087661050768e-02,0.103099152423002,1
S0038,Simi Valley,CA,93063,Existing,9122829.82,2227430.86,1714191.72,2453893.95,2171273.05,155092.65,782759.5,593747.63,1411229.41,20632449,0.442159329704389,0.107957657377464,8.30823195055517e-02,0.118933721828175,0.105235837490741,7.51692879502575e-03,3.7938273832641e-02,2.8777370538999e-02,6.83985410554026e-02,3
S0039,San Pedro,CA,90731,Existing,9669474.43000001,2328789.52,1581216.99,2939723.13,1579637.47,147463.34,758905.04,1010486.17,1345626.92,21361323,0.452662713353476,0.109018974152491,7.4022427824344e-02,0.137618963488357,7.39484848386965e-02,6.90328684229904e-03,3.55270616899524e-02,4.73044750084065e-02,6.29936132701144e-02,3
S0040,Long Beach,CA,90807,Existing,16073815.58,3677680.76,2788687.32,4769599.23,4543001.51,299539.75,1464123.59,700204.9,2709070.05,37025723,0.434125636925442,9.93277230535107e-02,7.53175655746142e-02,0.128818530565899,0.122698522591983,8.09004458873091e-03,3.95434166133636e-02,1.89113093078561e-02,7.3167242406043e-02,1
S0041,Santa Fe Springs,CA,90670,Existing,11674107.53,2674726.45,2087500.74,2595859.27,2402327.77,172803.28,1261126.41,705443.21,1693623.67,25267518,0.462020350791874,0.105856319168349,8.26159791397002e-02,0.1027350319885,9.50757320129345e-02,6.83894951613371e-03,4.99109730524383e-02,2.79189752630235e-02,6.70277021272924e-02,3
S0042,El Cajon,CA,92021,Existing,18881880.24,4006812.63,3217344.18,4719220.8,3843105.62,238829.76,1884916.5,1159185.22,2410507.99,40361803,0.467815579001761,9.92723895411709e-02,7.97125980719939e-02,0.11692294320945,9.52164010116198e-02,5.91722228067958e-03,4.6700502948295e-02,2.87198572372993e-02,5.9722505211177e-02,3
S0043,Thousand Oaks,CA,91360,Existing,12162194.78,2791583.6,2218720.2,2890792.8,3136766.86,231556.75,1021871.91,690136.36,2014870.32,27158494,0.447822871916241,0.102788600870137,8.16952589491891e-02,0.106441572202052,0.11549855673146,8.52612630140684e-03,3.7626236197044e-02,2.54114370259264e-02,7.41893243417695e-02,2
S0044,Tujunga,CA,91042,Existing,15772314.51,3562553.91,2715622.41,4481645.11,3735116.20000001,201122.97,1456372.17,1316636.75,2290881.67,35532266,0.443887099967112,0.100262502537834,7.64269413608465e-02,0.126128885503672,0.105118998039697,5.66029112806935e-03,4.09873147409175e-02,3.70546801039933e-02,6.44732781748285e-02,3
S0045,Rancho Cucamonga,CA,91737,Existing,18821234.56,4354423.4,3546379.18,3883710.16,4446110.8,394119.27,1637901.97,952974.540000001,4267237.08,42304091,0.444903415133066,0.102931496625232,8.38306437077209e-02,9.18046001744843e-02,0.105098837840529,9.31633940556718e-03,3.87173422542042e-02,2.25267702832807e-02,0.10087055363038,1
S0046,Long Beach,CA,90815,Existing,17883061.14,4373298.18,3320714.19,4574109.64,5002506.61,443995.32,1607814.64,1209799.41,3893486.6,42308786,0.422679609384207,0.103366193962644,7.84875791519993e-02,0.108112523956608,0.118238008767257,1.04941635526957e-02,3.80019091070115e-02,2.85945195874918e-02,9.20254861484327e-02,2
S0047,Chino Hills,CA,91709,Existing,20130418.28,4359082.65,3644785.09,4807596.71,4593568.85,380905.05,1727800.92,936433.169999999,4516050.58,45096641,0.446383984119792,9.66609164970846e-02,8.08216534353413e-02,0.106606536615443,0.101860554314899,8.44641732851012e-03,3.83132952185951e-02,2.0765031479839e-02,0.100141617642875,1
S0048,Oceanside,CA,92057,Existing,15351829.53,3431379.41,2843183.47,3562316.55,3440749.53,331411.22,1338514.34,924731.52,3560088.01,34784204,0.441344856705647,9.86476335637867e-02,8.17377758594102e-02,0.102411903690537,9.89170121587373e-02,9.52763558999366e-03,3.84805223658417e-02,2.65848118876028e-02,0.102347836103997,1
S0049,Tustin,CA,92780,Existing,10022010.28,2424017.45,2025935.33,2122030.11,2510813.07,231099.48,940397.14,698494.12,1523808.91,22498606,0.44545027723051,0.107740784029019,9.00471491433735e-02,9.43182928755675e-02,0.111598606153644,1.02717243903911e-02,4.17980180638747e-02,3.10461065898927e-02,6.77290366345364e-02,2
S0050,Rolling Hills Estates,CA,90274,Existing,18904924.18,4604837.64,3654389.92,4286193.57,6382729.42,654293.36,1635272.62,921487.02,2895084.11,43939212,0.430251780118405,0.104800187131258,8.31692184193017e-02,0.09754825757913,0.145262719322322,1.48908760584965e-02,3.72167033855773e-02,2.09718603965861e-02,6.58883939475292e-02,2
S0051,Mission Viejo,CA,92692,Existing,14858870.69,3404191.04,2738386.27,2877653.86,3917645.91,271433.73,1250997.7,1026703.85,2015389.09,32361272,0.459155953140531,0.105193363227502,8.46192408629673e-02,8.89227673127311e-02,0.121059700928938,8.38761004202802e-03,3.86572474654272e-02,3.1726313168407e-02,6.22778081776267e-02,2
S0052,La Canada,CA,91011,Existing,19906352.86,4440704.91,3420423.44,5136574.65,6637175.18,734241.050000001,1987478.38,1153010.85,3571911.99,46987873,0.423648732940093,9.45074681290639e-02,7.27937491445932e-02,0.109317028459662,0.141252939455251,1.56261818873989e-02,4.22976877459424e-02,2.45384771938921e-02,7.60177416415507e-02,2
S0053,El Centro,CA,92243,Existing,14581530.55,3130532.88,2313704.13,3715695.89,2745412.25,201233.77,1447634.62,860645.189999999,1901166.71,30897556,0.471931519437978,0.101319757459134,7.48830791017905e-02,0.120258569642207,8.88553207897738e-02,6.5129348742017e-03,4.68527225907447e-02,2.78547982889002e-02,6.15312974916203e-02,3
S0054,Simi Valley,CA,93063,Existing,17026101.04,3989612.16,3149861.69,4164490.16,4386911.15,309659.41,1673337.82,1146805.78,2423532.2,38270311,0.444890584766871,0.104248229391185,8.23056204063771e-02,0.10881777678786,0.11462961850506,8.09137427704729e-03,4.37241761636063e-02,2.99659383483975e-02,6.33266920668609e-02,3
S0055,Escondido,CA,92026,Existing,19088095.08,3736021.51,3173059.07,3847038.75,4400262.02,225703.13,1465620.42,639279.85,2427596.17,39002676,0.48940475468914,9.57888507444977e-02,8.13549067761402e-02,9.86352513350622e-02,0.112819490129344,5.78686267578153e-03,3.75774323792552e-02,1.63906663737637e-02,6.22417848970158e-02,1
S0056,San Juan Capistrano,CA,92675,Existing,10391159.07,2549257.22,1884567.75,1907090.37,2572158.37,176842.67,592394.16,490284.11,1248561.77,21812315,0.476389556541797,0.116872382413329,8.63992542744776e-02,8.74318186767429e-02,0.117922300773668,8.10746910632823e-03,2.71587018617694e-02,2.24773991206344e-02,5.72411396956261e-02,2
S0057,Inglewood,CA,90301,Existing,14653637.31,3251575.4,2519485.1,4931545.65,3587804.57,196213.47,1656800.49,592246.87,2057046.97,33446356,0.438123582431521,9.72176281326431e-02,7.53291360051302e-02,0.147446425852789,0.107270417440991,5.86651263294572e-03,4.95360537931247e-02,1.77073660879529e-02,6.15028725401356e-02,3
S0058,Simi Valley,CA,93065,Existing,13413628.73,2897466.58,2305301.28,2962731.37,2897813.17,240267.69,1378425.27,860880.03,1909961,28866475,0.464678445497761,0.10037479740772,7.98608517319832e-02,0.10263571738496,0.100386804069426,8.32341635062819e-03,4.77517698298805e-02,2.98228318490567e-02,6.61653700356556e-02,3
S0059,El Cajon,CA,92021,Existing,12462807.04,2807123.52,2101484.93,3404045.88,3490732.83,214102.63,1259971.75,829482.95,2417121.15,28986873,0.429946584441861,9.68411984279919e-02,7.24978140967465e-02,0.117434049543736,0.120424608408089,7.38619270867885e-03,4.34669772762312e-02,2.86158134407944e-02,8.33867506163911e-02,1
S0060,Escondido,CA,92025,Existing,15688606.94,3555148.75,2872841.23,3998911.1,3516216.8,366568.84,1452109.14,902494.46,2533936.38,34886834,0.449699933791642,0.101905170013421,8.23474331319374e-02,0.114625222225668,0.100789220368922,1.05073690550424e-02,4.16234141510233e-02,2.58691992514999e-02,7.26330276917648e-02,3
S0061,Yucca Valley,CA,92284,Existing,19352651.46,4461770.11,3095090.85,4923658.91,4329100.12,244877.13,2074325.81,1243333.02,2297763.31,42022571,0.460529924739731,0.106175562413828,7.36530577817336e-02,0.117167007939614,0.103018449775479,5.82727625113656e-03,4.9362182290084e-02,2.95872668047845e-02,5.46792653405238e-02,3
S0062,Corona,CA,92883,Existing,12248028.87,2577226.39,2079239.8,2442931.82,2882942.49,151167.25,1062596.06,559885.62,2060781.69,26064800,0.469906880927534,9.88776583745127e-02,7.97719453055462e-02,9.37253238083545e-02,0.110606737438998,5.79967043675761e-03,4.07674741413707e-02,2.14805262269421e-02,7.90637829563242e-02,1
S0063,Los Angeles,CA,90028,Existing,8729367.81,2373881.9,1771709.83,2202671,2822801.12,193831.14,623938.46,607220.75,1518719.92,20844142,0.418792378693256,0.113887244675266,8.49979735313643e-02,0.105673382958147,0.135424193521614,9.29907021358807e-03,2.99335160929147e-02,2.91314821209719e-02,7.28607548346197e-02,2
S0064,Northridge,CA,91324,Existing,9975297.43000001,2452825.8,1630303.74,2620448.72,2806409.24,218816.85,906447.01,1001406.81,1242288.12,22854244,0.436474618455986,0.107324740210177,7.13348356655333e-02,0.114659173149635,0.122795977849891,9.57445146730734e-03,3.96620868316624e-02,4.38171050418469e-02,5.43569990764079e-02,2
S0065,La Verne,CA,91750,Existing,14548365.67,3709653.21,2541375.39,3903469.76,4244599.91,401274.129999999,1339607.66,1073955.02,2907880.44,34670181,0.419621855161356,0.106998380250741,7.33014745437873e-02,0.112588675553785,0.122427970883682,1.15740419699568e-02,3.86386116645887e-02,3.09763315051629e-02,8.38726639471539e-02,2
S0066,Redlands,CA,92374,Existing,15930729.89,3513480.75,2929476.99,3732184.45,3021856.3,304719.87,1410438.96,890801.23,3572979.13,35306668,0.451210232865928,9.9513235007053e-02,8.29723436377514e-02,0.10570763715228,8.55888270170383e-02,8.63066064461251e-03,3.99482318750668e-02,2.52303964225681e-02,0.1011984231987,1
S0067,Simi Valley,CA,93065,Existing,13208481.87,2850178.02,2323242.19,3517290.99,2926805.74,171868.63,1247766.13,703530.22,1748363.96,28697528,0.460265492902385,9.93178931648748e-02,8.09561781767405e-02,0.122564249784859,0.101988078555059,5.9889698513405e-03,4.34799168067717e-02,2.45153596504898e-02,6.09238523959276e-02,3
S0068,Burbank,CA,91504,Existing,17116047.01,3885400.46,2943162.25,3997440.94,4775191.33,364386.38,1782749.49,1400891.14,2559074.52,38824344,0.440858627514737,0.100076396912205,7.58071340497086e-02,0.102962227513748,0.122994771785455,9.38551286275435e-03,0.04591834159516,3.60828025838634e-02,6.59141728189921e-02,2
S0069,San Pedro,CA,90732,Existing,10171488.28,2610543.88,1909920.49,2763957.68,3279238.46,194733.89,1023277.68,914185.360000001,1741950.8,24609297,0.413318929021012,0.106079579599531,7.76097135159936e-02,0.112313556945572,0.13325201691052,7.9130212455886e-03,4.15809391060622e-02,3.71479672905732e-02,7.07842568603239e-02,2
S0070,Long Beach,CA,90807,Existing,15551585.46,3449561.43,2718768.77,3563208.16,4013986.34,276776.12,1336535.56,825115.8,3634274.01,35369812,0.439685273419039,9.75284072756733e-02,7.68669273673267e-02,0.100741506909904,0.113486222092444,7.82520755270059e-03,3.77874657631768e-02,2.33282495253297e-02,0.102750730198962,1
S0071,Barstow,CA,92311,Existing,13753914.08,3038819.76,2126413.89,4160577.09,3135443.78000001,184240.31,1330196.58,665396.47,2552738,30947740,0.444423860352969,9.8191976538513e-02,6.87098279228144e-02,0.134438801993296,0.101314143779158,5.95327187057925e-03,4.2982026474308e-02,2.15006481894962e-02,8.24854415863647e-02,1
S0072,Lompoc,CA,93436,Existing,16735266.3,3531512.75,2411981.19,4778935.6,4147374.1,287682.8,1676771.13,692740.56,3797553.88,38059818,0.439709572441991,9.27884823306302e-02,6.33734294262784e-02,0.125563805901542,0.108969887874924,7.5587014105007e-03,4.40562046303006e-02,1.82013629177102e-02,9.97785612111965e-02,1
S0073,Goleta,CA,93117,Existing,15644379.69,3508188.95,2793488.95,3782537.58,4465628.93,311041.81,1525076.3,1293299.18,2556073.85,35879715,0.436022964229231,9.77763884133415e-02,7.78570551633423e-02,0.105422732036751,0.124461103718355,8.66901562623894e-03,4.25052512262151e-02,3.60454139616215e-02,7.12400823139203e-02,2
S0074,West Covina,CA,91790,Existing,9359491.14999999,2112420.38,1619474.25,2705702.35,1908571.21,104311.03,766377.12,680005.26,1251862.39,20508215,0.456377658904005,0.103003619768956,7.8967099281922e-02,0.131932610907385,9.30637410423092e-02,5.08630468326961e-03,3.73692747028447e-02,3.31577009505703e-02,6.10419965852709e-02,3
S0075,Chula Vista,CA,91911,Existing,13433609.13,3046198.57,2352610.73,4961131.18,3567736.58,142057.19,1606817.41,499520.37,1549614.52,31159296,0.431126849913426,9.77621115059853e-02,7.55026920377149e-02,0.159218333430897,0.114499909754059,4.55906288768527e-03,5.15678342026726e-02,1.60311827969412e-02,4.97320132008118e-02,3
S0076,Los Angeles,CA,90041,Existing,9919151.26,2240409.57,1852723.94,2481944.99,2605311.13,264552.57,941792.04,590258.53,1712977.48,22609122,0.438723417034947,9.90931700045672e-02,8.19458597286528e-02,0.109776265969108,0.115232742341786,1.17011430165223e-02,4.1655400859883e-02,2.61070965073301e-02,7.57648828645358e-02,2
S0077,Goleta,CA,93111,Existing,11830087.05,2777040.86,2205284.96,2861789.75,3178498.13,292412.08,1026552.9,1057670.22,1721778.73,26951115,0.438946108537625,0.103039924693283,8.18253701191954e-02,0.106184465837499,0.117935682067328,1.0849721059778e-02,3.80894408264741e-02,3.92440245978691e-02,6.38852503875999e-02,2
S0078,Santa Barabra,CA,93105,Existing,7941652.94,2202417.72,1620640.59,2058790.78,2343553.96,132383.08,667635.85,463992.82,974476.95,18405545,0.431481542111358,0.119660554468776,8.80517577719106e-02,0.111857094152876,0.127328691435108,7.19256506666876e-03,3.62736256926921e-02,2.52094040138448e-02,5.29447484440151e-02,2
S0079,Palmdale,CA,93551,Existing,11014708.74,2278637.38,1824305.04,2869326.94,2349084.45,183894.22,958828.26,539816.49,1716709.36,23735311,0.464064226502025,9.60020022488857e-02,7.68603807213649e-02,0.120888533543967,9.89700303484543e-02,7.74770636036747e-03,4.03967009322102e-02,2.27431816671793e-02,7.23272326197875e-02,1
S0080,Temecula,CA,92591,Existing,6015457.74,1340208.61,1037446.86,1278210.26,1042516.44,97321.71,457539.13,305939.47,1044103.93,12618744,0.476708120871617,0.106207766002702,8.2214748155601e-02,0.101294570996923,8.26164981237436e-02,7.71247201781731e-03,3.62586902468265e-02,2.42448432268695e-02,8.27423022449778e-02,1
S0081,Torrance,CA,90503,Existing,6223032.38,1500900.17,1273072.82,1815579.88,1715208.66,124602.84,572727.66,631365.19,845442.23,14701932,0.423279904981196,0.102088635017493,8.65922125064923e-02,0.123492604917503,0.116665528040804,8.47526978086962e-03,3.89559453818722e-02,4.29443688081267e-02,5.75055190025366e-02,2
